starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 15:45:04 2020	1603377904	23	28	51	27
Thu Oct 22 15:45:04 2020	1603377904	20	31	51	31
Thu Oct 22 15:45:04 2020	1603377904	22	29	51	27
Thu Oct 22 15:45:04 2020	1603377904	22	29	51	29
Thu Oct 22 15:45:04 2020	1603377904	23	29	52	29
Thu Oct 22 15:45:04 2020	1603377904	23	29	52	27
Thu Oct 22 15:45:04 2020	1603377904	26	27	52	25
Thu Oct 22 15:45:04 2020	1603377904	30	22	52	21
Thu Oct 22 15:45:04 2020	1603377904	28	24	53	23
Thu Oct 22 15:45:04 2020	1603377904	21	32	53	30
Thu Oct 22 15:45:04 2020	1603377904	29	24	53	22
Thu Oct 22 15:45:04 2020	1603377904	18	35	54	34
Thu Oct 22 15:45:04 2020	1603377904	24	30	54	30
Thu Oct 22 15:45:27 2020	1603377927	24	30	54	29
Thu Oct 22 15:45:04 2020	1603377904	22	32	54	31
Thu Oct 22 15:45:04 2020	1603377904	23	31	54	29
Thu Oct 22 15:45:04 2020	1603377904	29	25	54	23
Thu Oct 22 15:45:04 2020	1603377904	31	23	54	21
Thu Oct 22 15:45:04 2020	1603377904	33	22	54	21
Thu Oct 22 15:45:04 2020	1603377904	29	26	54	23
Thu Oct 22 15:45:04 2020	1603377904	31	23	54	22
Thu Oct 22 15:45:04 2020	1603377904	28	26	54	23
Thu Oct 22 15:45:33 2020	1603377933	29	25	55	24
Thu Oct 22 15:45:04 2020	1603377904	32	23	55	22
Thu Oct 22 15:45:05 2020	1603377905	28	27	55	27
Thu Oct 22 15:45:04 2020	1603377904	29	26	55	24
Thu Oct 22 15:45:33 2020	1603377933	29	26	55	22
Thu Oct 22 15:45:34 2020	1603377934	28	28	55	27
Thu Oct 22 15:45:04 2020	1603377904	33	23	55	21
Thu Oct 22 15:45:04 2020	1603377904	26	30	55	27
Thu Oct 22 15:45:04 2020	1603377904	28	28	56	25
Thu Oct 22 15:45:04 2020	1603377904	28	28	56	25
Thu Oct 22 15:45:08 2020	1603377908	32	24	56	23
Thu Oct 22 15:45:05 2020	1603377905	28	27	56	26
Thu Oct 22 15:45:27 2020	1603377927	26	30	56	30
Thu Oct 22 15:45:04 2020	1603377904	32	23	56	23
Thu Oct 22 15:45:42 2020	1603377942	25	31	56	29
Thu Oct 22 15:45:33 2020	1603377933	31	25	56	24
Thu Oct 22 15:45:28 2020	1603377928	25	31	56	29
Thu Oct 22 15:45:04 2020	1603377904	26	29	56	28
Thu Oct 22 15:45:04 2020	1603377904	31	25	56	24
Thu Oct 22 15:45:26 2020	1603377926	27	29	56	28
Thu Oct 22 15:45:14 2020	1603377914	30	26	56	25
Thu Oct 22 15:45:04 2020	1603377904	32	24	56	23
Thu Oct 22 15:45:05 2020	1603377905	28	28	56	28
Thu Oct 22 15:45:04 2020	1603377904	30	27	56	25
Thu Oct 22 15:45:05 2020	1603377905	28	29	56	27
Thu Oct 22 15:45:25 2020	1603377925	25	31	57	30
Thu Oct 22 15:45:04 2020	1603377904	32	24	57	22
Thu Oct 22 15:45:04 2020	1603377904	31	26	57	23
Thu Oct 22 15:45:25 2020	1603377925	26	31	57	30
Thu Oct 22 15:45:28 2020	1603377928	28	29	57	25
Thu Oct 22 15:45:05 2020	1603377905	28	29	57	29
Thu Oct 22 15:45:04 2020	1603377904	19	38	57	34
Thu Oct 22 15:45:33 2020	1603377933	29	28	57	25
Thu Oct 22 15:45:04 2020	1603377904	28	29	57	28
Thu Oct 22 15:45:05 2020	1603377905	26	31	57	29
Thu Oct 22 15:45:05 2020	1603377905	30	27	57	26
Thu Oct 22 15:45:04 2020	1603377904	31	26	57	24
Thu Oct 22 15:45:04 2020	1603377904	32	26	57	24
Thu Oct 22 15:45:04 2020	1603377904	30	27	57	25
Thu Oct 22 15:45:05 2020	1603377905	27	30	57	28
Thu Oct 22 15:45:05 2020	1603377905	31	26	57	25
Thu Oct 22 15:45:05 2020	1603377905	29	28	57	27
Thu Oct 22 15:45:05 2020	1603377905	28	30	57	27
Thu Oct 22 15:45:05 2020	1603377905	27	30	57	28
Thu Oct 22 15:45:07 2020	1603377907	27	30	57	30
Thu Oct 22 15:45:14 2020	1603377914	29	28	57	26
Thu Oct 22 15:45:04 2020	1603377904	29	28	57	26
Thu Oct 22 15:45:05 2020	1603377905	28	29	58	28
Thu Oct 22 15:45:26 2020	1603377926	27	30	58	30
Thu Oct 22 15:45:05 2020	1603377905	28	29	58	28
Thu Oct 22 15:45:05 2020	1603377905	28	30	58	29
Thu Oct 22 15:45:38 2020	1603377938	29	28	58	26
Thu Oct 22 15:45:05 2020	1603377905	29	29	58	28
Thu Oct 22 15:45:04 2020	1603377904	35	23	58	21
Thu Oct 22 15:45:05 2020	1603377905	26	32	58	30
Thu Oct 22 15:45:05 2020	1603377905	29	29	58	29
Thu Oct 22 15:45:38 2020	1603377938	29	29	58	27
Thu Oct 22 15:45:04 2020	1603377904	20	38	58	35
Thu Oct 22 15:45:05 2020	1603377905	29	29	58	27
Thu Oct 22 15:45:33 2020	1603377933	29	29	58	28
Thu Oct 22 15:45:17 2020	1603377917	30	28	58	28
Thu Oct 22 15:45:26 2020	1603377926	29	29	58	28
Thu Oct 22 15:45:28 2020	1603377928	31	27	58	26
Thu Oct 22 15:45:04 2020	1603377904	28	30	58	29
Thu Oct 22 15:45:04 2020	1603377904	31	27	58	25
Thu Oct 22 15:45:04 2020	1603377904	34	24	58	22
Thu Oct 22 15:45:25 2020	1603377925	26	32	58	31
Thu Oct 22 15:45:41 2020	1603377941	30	28	58	28
Thu Oct 22 15:45:28 2020	1603377928	29	29	58	26
Thu Oct 22 15:45:37 2020	1603377937	29	29	58	27
Thu Oct 22 15:45:26 2020	1603377926	29	29	58	29
Thu Oct 22 15:45:25 2020	1603377925	26	32	58	30
Thu Oct 22 15:45:38 2020	1603377938	30	28	58	27
Thu Oct 22 15:45:16 2020	1603377916	28	31	58	29
Thu Oct 22 15:45:07 2020	1603377907	28	30	58	28
Thu Oct 22 15:45:07 2020	1603377907	29	30	58	29
Thu Oct 22 15:45:25 2020	1603377925	30	28	58	27
Thu Oct 22 15:45:26 2020	1603377926	29	30	58	28
Thu Oct 22 15:45:19 2020	1603377919	29	29	58	28
Thu Oct 22 15:45:04 2020	1603377904	27	32	58	30
Thu Oct 22 15:45:31 2020	1603377931	29	30	58	28
Thu Oct 22 15:45:38 2020	1603377938	27	31	58	30
Thu Oct 22 15:45:38 2020	1603377938	30	28	58	28
Thu Oct 22 15:45:18 2020	1603377918	30	29	58	27
Thu Oct 22 15:45:18 2020	1603377918	30	28	59	28
Thu Oct 22 15:45:29 2020	1603377929	30	29	59	28
Thu Oct 22 15:45:05 2020	1603377905	30	28	59	28
Thu Oct 22 15:45:34 2020	1603377934	31	28	59	27
Thu Oct 22 15:45:27 2020	1603377927	31	28	59	27
Thu Oct 22 15:45:33 2020	1603377933	31	28	59	26
Thu Oct 22 15:45:09 2020	1603377909	29	29	59	28
Thu Oct 22 15:45:04 2020	1603377904	34	25	59	22
Thu Oct 22 15:45:26 2020	1603377926	28	31	59	31
Thu Oct 22 15:45:04 2020	1603377904	26	33	59	33
Thu Oct 22 15:45:09 2020	1603377909	29	30	59	28
Thu Oct 22 15:45:31 2020	1603377931	30	29	59	29
Thu Oct 22 15:45:28 2020	1603377928	30	29	59	26
Thu Oct 22 15:45:16 2020	1603377916	29	30	59	28
Thu Oct 22 15:45:38 2020	1603377938	28	31	59	30
Thu Oct 22 15:45:38 2020	1603377938	28	31	59	31
Thu Oct 22 15:45:27 2020	1603377927	26	33	59	32
Thu Oct 22 15:45:28 2020	1603377928	30	29	59	27
Thu Oct 22 15:45:26 2020	1603377926	29	30	59	29
Thu Oct 22 15:45:30 2020	1603377930	29	30	59	28
Thu Oct 22 15:45:05 2020	1603377905	29	30	59	29
Thu Oct 22 15:45:31 2020	1603377931	29	30	59	29
Thu Oct 22 15:45:28 2020	1603377928	29	30	59	27
Thu Oct 22 15:45:27 2020	1603377927	34	25	59	24
Thu Oct 22 15:45:04 2020	1603377904	31	28	59	26
