starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 22 13:41:46 2020	1603370506	14	27	41	26
Thu Oct 22 13:41:46 2020	1603370506	14	27	41	26
Thu Oct 22 13:41:46 2020	1603370506	14	27	41	27
Thu Oct 22 13:41:46 2020	1603370506	14	28	42	27
Thu Oct 22 13:41:46 2020	1603370506	15	33	49	26
Thu Oct 22 13:41:46 2020	1603370506	14	35	49	27
Thu Oct 22 13:41:46 2020	1603370506	18	32	50	32
Thu Oct 22 13:41:46 2020	1603370506	16	34	51	33
Thu Oct 22 13:41:46 2020	1603370506	20	33	52	30
Thu Oct 22 13:41:46 2020	1603370506	19	33	52	31
Thu Oct 22 13:41:46 2020	1603370506	19	34	52	32
Thu Oct 22 13:41:46 2020	1603370506	20	33	53	32
Thu Oct 22 13:41:46 2020	1603370506	21	33	53	31
Thu Oct 22 13:41:46 2020	1603370506	20	34	54	34
Thu Oct 22 13:41:46 2020	1603370506	24	37	61	29
Thu Oct 22 13:41:46 2020	1603370506	23	39	62	38
Thu Oct 22 13:41:46 2020	1603370506	25	38	62	37
Thu Oct 22 13:41:46 2020	1603370506	25	38	63	37
Thu Oct 22 13:41:46 2020	1603370506	25	39	64	37
Thu Oct 22 13:41:46 2020	1603370506	27	37	64	37
Thu Oct 22 13:41:46 2020	1603370506	25	40	64	38
Thu Oct 22 13:41:46 2020	1603370506	29	36	65	34
Thu Oct 22 13:41:46 2020	1603370506	29	41	71	34
Thu Oct 22 13:41:46 2020	1603370506	29	42	71	36
Thu Oct 22 13:41:46 2020	1603370506	30	42	72	36
Thu Oct 22 13:41:46 2020	1603370506	30	41	72	40
Thu Oct 22 13:41:46 2020	1603370506	31	41	72	40
Thu Oct 22 13:41:46 2020	1603370506	31	41	72	34
Thu Oct 22 13:41:46 2020	1603370506	30	42	72	41
Thu Oct 22 13:41:46 2020	1603370506	30	42	72	41
Thu Oct 22 13:41:46 2020	1603370506	30	42	72	41
Thu Oct 22 13:41:46 2020	1603370506	30	42	73	41
Thu Oct 22 13:41:46 2020	1603370506	31	43	73	42
Thu Oct 22 13:41:46 2020	1603370506	31	43	74	43
Thu Oct 22 13:41:46 2020	1603370506	30	46	76	42
Thu Oct 22 13:41:46 2020	1603370506	30	46	76	42
Thu Oct 22 13:41:46 2020	1603370506	34	43	76	42
